Tags,links,Name,Location
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Bhadra Maruti,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Jain Temple in Ellora caves,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Buddhist Temples at Ellora Caves,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Hindu Temples at Ellora Caves,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Alamgir Dargah,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Ganesh Temple,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Valley of the Sufi Saints,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Dargah Baba Shah Muzafir,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Hemadpanthi Temple-Mosque,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Ramakrishna Mission Aurangabad,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Bharat Mata Mandir,Aurangabad
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g297649-Activities-c47-t10-Aurangabad_Aurangabad_District_Maharashtra.html,Gurudwara Bhai Saheb Bhai Daya Singh Ji Bhai Dharam Singh Ji,Aurangabad
